,CIK,GVKEY,NAICS,MCAP,REVT,ROA,NPM,NUM_SAVVY,NUM_DIR,ROE
2972,1369568.0,175966.0,325412.0,697.26261,140.833,0.356,0.605,2,7,0.309
2973,1367644.0,176022.0,325414.0,2230.011,1792.7,0.199,0.125,0,10,0.033
2974,1316517.0,176169.0,336320.0,246.22305,91.486,0.01,-0.061,1,2,-0.016
2975,1374535.0,176247.0,333613.0,3348.13068,1899.8,0.084,-0.011,3,8,0.007
2976,809248.0,176249.0,722513.0,147.80168,1652.37,0.046,-0.014,2,8,-0.35
2977,1371489.0,176251.0,518210.0,372.28272,277.832,0.087,0.014,3,7,0.19
2978,1368265.0,176343.0,447190.0,1365.05905,255.646,0.1,0.1,4,7,-0.066
2979,1289636.0,176346.0,333132.0,50.50158,26.356,-0.049,-0.158,0,5,0.044
2980,1368622.0,176362.0,336411.0,2734.63749,394.912,0.1,0.077,1,7,-0.013
2981,1377630.0,176523.0,541850.0,226.56187,114.6,0.063,-0.05,3,8,
2982,1375365.0,176567.0,334111.0,1779.47476,3557.422,0.083,0.026,5,6,0.354
2983,1377789.0,176572.0,334220.0,365.48381,274.911,0.089,0.025,2,5,0.07
2984,1379041.0,176591.0,524126.0,1147.92258,703.1,0.03,0.12,4,9,0.05
2985,1378950.0,176593.0,454110.0,593.152,582.44,0.08,-0.06,5,8,0.002
2986,1360214.0,176636.0,325412.0,232.44192,72.476,0.023,-0.039,1,6,-2.064
2987,1138723.0,176670.0,334510.0,410.51544,396.289,0.062,0.036,4,9,-0.194
2988,1381197.0,176701.0,523120.0,7799.4411,2938.0,0.022,0.068,3,10,0.128
2989,1382230.0,176703.0,522180.0,172.50189,70.18,0.016,0.186,2,9,0.097
2990,1381668.0,176766.0,522180.0,5351.30466,444.65,0.011,0.164,6,11,0.042
2991,1378590.0,176768.0,518210.0,41.86857,13.259,-0.03,0.03,0,5,0.113
2992,1829576.0,176828.0,522110.0,406.77309,162.041,0.013,-0.262,2,7,0.107
2993,1384195.0,176840.0,2111.0,228.44004,196.306,-0.079,-0.658,3,8,0.476
2994,1314772.0,176874.0,339999.0,22.461875,143.665,0.126,0.009,3,5,-1.26
2995,1349436.0,176899.0,211120.0,383.6205,168.882,-0.661,-3.642,1,5,0.654
2996,1383312.0,176928.0,541512.0,18753.633,4993.7,0.193,0.103,2,10,0.235
2997,1293282.0,177111.0,5418.0,2834.78844,263.427,0.131,0.129,2,7,0.076
2998,1385508.0,177182.0,325412.0,165.1233,47.785,-0.005,-0.004,5,7,-0.838
2999,1145197.0,177227.0,334510.0,18406.45653,1098.8,0.096,0.033,3,9,0.035
3000,1389545.0,177228.0,325412.0,17.9886756,8.421,-0.568,-1.228,2,8,-0.2
3001,1138639.0,177257.0,334210.0,2027.14379,1425.205,-0.015,-0.19,2,2,-0.594
3002,1386570.0,177367.0,325411.0,254.79124,67.449,-0.446,-0.399,1,8,-0.719
3003,1393612.0,177376.0,522210.0,33319.18368,13221.0,0.023,0.079,2,11,0.357
